"village","village_id","visited","source","longitude","latitude","treecover_tot_area","shrubland_tot_area","grassland_tot_area","builtup_tot_area","treecover_patch_area","shrubland_patch_area","grassland_patch_area","builtup_patch_area","landscape_patch_area","landscape_area_sd","bare_tot_area","bare_patch_area","water_tot_area","water_patch_area","cropland_tot_area","cropland_patch_area","wetland_tot_area","wetland_patch_area","treecover_percent","shrubland_percent","grassland_percent","builtup_percent","bare_percent","water_percent","cropland_percent","wetland_percent","num_buildings","state","LGA","SenDist","lassa_occ","travel_time","distance_to_road","build_area"
"Ewe","501333080",FALSE,"OSM",8.0046915,5.436713,1412.77129136999,NA,93.9848452479213,0.101935840832886,32.8551463109299,NA,0.701379442148667,0.0339786136109622,6.7511347524329,90.974644932864,0.15290376124933,0.0305807522498659,57.8485896726631,19.282863224221,0.127419801041108,0.0254839602082216,35.031950632902,0.796180696202318,0.882971606957039,NA,0.0587398330820361,6.37091465098006e-05,9.55637197647009e-05,0.0361549406443118,7.96364331372508e-05,0.0218947100172015,8,"Cross River","Odukpani","Cross River South",0.00759948791574802,151.93,15242,388.9928
"Ochon","501333256",FALSE,"OSM",8.4413,5.9332,1381.65537595575,25.144174072112,126.357969365766,55.1387952371888,23.0275895992625,0.113774543312724,0.734639356777707,0.574362450387384,2.5641329107798,54.9239415010547,0.263334255484957,0.0202564811911505,NA,NA,11.459287440297,0.184827216778984,NA,NA,0.863524389984922,0.0157149228057508,0.0789727961944403,0.0344613391662596,0.000164581961816985,NA,0.00716196988681008,NA,1592,"Cross River","Obubra","Cross River Central",0.217319291173103,105.78,341,209629.9645
"Iwuru Obiontan","501333262",FALSE,"OSM",8.1768115,5.420663,1545.04153950406,1.37613385124397,19.6991012409553,30.4108591818111,103.002769300271,0.0529282250478449,0.185840577744861,0.323519778529906,6.13034075220918,95.6069255818789,3.49130254852636,0.174565127426318,NA,NA,NA,NA,NA,NA,0.965639533649048,0.000860073477882308,0.012311792563019,0.0190065620420905,0.00218203826796067,NA,NA,NA,1117,"Cross River","Biase","Cross River North",0.0415357498568386,102.53,54,141883.4702
"Etikumi","501333336",FALSE,"OSM",8.3967262,5.3195269,1524.93469489977,1.01086375492612,50.2798534908213,20.3107162859526,89.7020408764573,0.0361022769616473,0.266030970850906,0.247691662023813,4.80486167065044,83.4835019831361,3.48280789512362,0.204871052654331,NA,NA,NA,NA,NA,NA,0.953072904499989,0.000631782369555523,0.0314245365159591,0.0126940474420778,0.00217672917241819,NA,NA,NA,614,"Cross River","Akamkpa","Cross River South",0.00777062369464944,134.9,4733,69128.3461
"Atani Aro","501335282",FALSE,"OSM",7.883333,5.4,908.758021025183,0.0424732670137027,285.114546809583,401.814095256433,3.00913251995094,0.0424732670137027,0.86660956477077,2.40607242668523,1.88237521920776,27.7813269068534,0.662582965413762,0.0509679204164432,NA,NA,1.86032909520018,0.0641492791448337,1.76688790777003,0.196320878641115,0.567967041134872,2.65454777124169e-05,0.178194482787912,0.251130837350549,0.000414109452313704,NA,0.00116269192380386,0.00110429187283654,5498,"Abia","Arochukwu","Abia North",0.129390796846801,135.92,23181,989103.1623
"Odoro Ikpe","501352042",FALSE,"OSM",7.7505071,5.3568604,1119.52736125398,8.66454647079535,404.574857612324,66.5216307968612,8.81517607286599,0.120340923205491,1.40966849342273,0.289224481725483,2.20692267079531,35.3979690921209,0.662582965413762,0.110430494235627,NA,NA,0.0679572272219243,0.0226524090739748,NA,NA,0.69969631973497,0.00541527745333305,0.252856293401856,0.0415755271931874,0.000414109452313704,NA,4.24727643398671e-05,NA,1099,"Akwa Ibom","Ini","Akwa Ibom North West",0.0417940641145606,162.55,19948,187249.2055
"Okporo","501354542",FALSE,"OSM",8.05,6.6,789.229752995221,282.498193561539,44.9367165004975,2.02172750985225,3.67083606044289,0.429328561643677,0.200610341520078,0.0481363692821964,1.1790854357602,13.1738089586344,NA,NA,NA,NA,481.332545759487,2.20794745761233,NA,NA,0.493262757756589,0.176559281360827,0.0280851154197371,0.00126356473911105,NA,NA,0.300829280723736,NA,966,"Ebonyi","Ohaukwu","Ebonyi North",0.646120890494808,46.65,24002,74986.6004
"Nung Ukim","501358811",FALSE,"OSM",7.75,5.283333,1279.03146819724,2.59086928783587,245.503977992604,72.8841261955138,11.4199238231896,0.0563232453877362,0.989935395131469,0.235870958561533,2.2346633188919,47.2202745432022,NA,NA,NA,NA,0.00849465340274054,0.00849465340274054,NA,NA,0.79938520673618,0.00161927414045743,0.153438170273312,0.0455520397545074,NA,NA,5.30909554248338e-06,NA,1495,"Akwa Ibom","Ikono","Akwa Ibom North West",0.0402109592910448,180.01,12119,248393.7789
"Achara Ndiagu Omegio","501359657",FALSE,"OSM",8.15,6.133333,363.953425040418,48.2496313275663,753.654144544543,70.063901265804,0.978369422151662,0.153173432785925,1.70896631415996,0.214262695002459,0.774452534524006,7.9286637689609,7.67916667607745,0.0825716846890048,NA,NA,356.410172818785,0.689381378759739,0.00849465340274054,0.00849465340274054,0.227468198517701,0.0301556626813056,0.471028265624668,0.0437894200344029,0.00479942237040498,NA,0.222753721675975,5.30909554248338e-06,1443,"Ebonyi","Ikwo","Ebonyi Central",0.499390259928818,26.15,12007,218771.5854
"Mgbom","501361237",FALSE,"OSM",7.9302828,5.8793289,697.351581791179,2.79474096950164,326.950714818081,501.770681846481,1.95336577532543,0.0735458149868852,0.874199772240857,1.7984612252562,1.17562008547142,17.8503064899326,7.49228430121716,0.0902684855568332,NA,NA,52.9047013922681,0.248378879775907,10.7542312078695,0.632601835757031,0.435839580369088,0.00174669243347703,0.204341778334643,0.313602964598951,0.00468262226847034,NA,0.0330650470385865,0.00672131495678396,11682,"Ebonyi","Afikpo North","Ebonyi South",0.449891035684344,60.59,799,1648558.8379
"Achara","501363238",FALSE,"OSM",7.8333327,5.8166783,1244.95091874545,53.1255623807393,168.075212226624,68.2545400910202,16.8236610641276,0.206714250508713,0.56974648212415,0.368943459951461,1.64611001679691,39.2754904302672,1.90280236221388,0.0576606776428449,NA,NA,63.4720502252773,0.503746430359344,0.237850295276735,0.118925147638368,0.778085115419737,0.0332030835226911,0.105045764403576,0.042658582683854,0.00118923740151628,NA,0.0396695618934358,0.000148654675189535,1997,"Ebonyi","Afikpo South","Ebonyi South",0.196652765852661,76.44,6274,266565.56
"Egudenago","501370813",FALSE,"OSM",8.266667,6.3,264.599958841965,185.6676394237,246.098603730796,30.6911827441016,1.23069748298588,0.569532636269018,0.333466942724656,0.115380386256021,0.932411967556292,16.3750950617758,1.44409107846589,0.120340923205491,NA,NA,871.517460507568,5.48124188998471,NA,NA,0.165373017052815,0.116040901272059,0.153809806961286,0.0191817621949925,0.000902546242222175,NA,0.544691966276625,NA,1226,"Ebonyi","Abakaliki","Ebonyi North",0.67096125380458,23.74,2914,106517.0698
"Okopedi Itu","501371467",FALSE,"OSM",7.9675178,5.2039942,1071.70246259655,NA,226.323050609216,27.1659015819642,11.6489398108321,NA,1.25040359452606,0.372135638109099,2.09701040147654,36.3432573359976,17.7878042253387,0.17439023750332,176.30653137388,29.3844218956466,74.0054204446756,0.290217335077159,6.72776549497051,0.124588249906861,0.669806111830789,NA,0.141450232538385,0.0169784875448619,0.0111172460659602,0.110190277984243,0.0462528403661152,0.00420480366964684,515,"Akwa Ibom","Itu","Akwa Ibom North East",0.0432337561206122,172.37,4681,87708.1594
"Oniog Ono","501372086",FALSE,"OSM",7.716667,5.366667,1391.92541191966,6.54937777351296,168.788763112455,32.6364583733292,28.4066410595849,0.0873250369801728,0.756900283015491,0.179321199853457,3.01321833583163,59.1152254555412,0.118925147638368,0.0594625738191838,NA,NA,NA,NA,NA,NA,0.869943086495785,0.00409331266325469,0.105491728429145,0.0203975450742212,7.43273375947673e-05,NA,NA,NA,937,"Akwa Ibom","Ini","Akwa Ibom North West",0.0417940641145606,171.76,20490,123252.5244
"Eleke","501372590",FALSE,"OSM",8.1556869,6.1099208,492.664413398743,74.7189713305058,637.702125597135,96.3463588938832,1.71064032430119,0.203040682963331,1.36845949698956,0.222508911995111,0.778598022543356,7.65326204814612,6.83819598920613,0.113969933153436,NA,NA,291.621451316083,0.665802400265029,0.127419801041108,0.0637099005205541,0.307911614177409,0.0466988043916838,0.39855911146977,0.0602157616428465,0.00427382191169912,NA,0.182261249973455,7.96364331372508e-05,2227,"Ebonyi","Ikwo","Ebonyi Central",0.499390259928818,29.44,14019,329052.089
"Egbokoriko","501372598",FALSE,"OSM",8.707091,6.653083,545.178360734485,383.414675986097,318.498534682354,10.2275626968996,1.68264926152619,0.735920683274658,0.654001097910377,0.34091875656332,0.955805816204658,7.79549674068151,0.764518806246649,0.10921697232095,NA,NA,341.935283420515,1.12109928990333,NA,NA,0.340732442821041,0.23963133640553,0.199059228269872,0.00639215103314999,0.000477818598823504,NA,0.213707022871584,NA,133,"Cross River","Yala","Cross River North",0.199202598346316,91.92,12849,13770.4363
"Efie Mgbabu","501372621",FALSE,"OSM",8.1527848,6.0959124,570.118663124931,75.6533832048073,560.094972109698,69.2823931527519,2.75419644021706,0.222509950602374,1.09180306454132,0.165351773634253,0.86300913501974,6.50683890496216,1.98774889624129,0.0709910320086174,NA,NA,322.881775838168,0.930495031233913,NA,NA,0.356319947333772,0.047282804901357,0.350055214593642,0.0433009832444945,0.00124232835694111,NA,0.201798721569793,NA,2047,"Ebonyi","Ikwo","Ebonyi Central",0.499390259928818,31.67,14760,259691.7289
"Nnamg","501372642",FALSE,"OSM",8.68846,6.46691,446.37704700721,133.459499610457,781.032412461576,2.81173027630712,1.5828973298128,0.253725284430526,3.58271748835585,0.175733142269195,1.09141810117776,13.7795984894083,NA,NA,NA,NA,236.338246971047,0.557401525875112,NA,NA,0.278982352566417,0.0834112000679564,0.488139480558092,0.001757310624562,NA,NA,0.147709656182973,NA,143,"Cross River","Ogoja","Cross River North",0.144206497635524,99.24,3926,16879.9763
"Enyibichiri","501372656",FALSE,"OSM",8.059528,6.36974,392.138685030712,254.88207534923,197.874456363438,144.332655965965,0.820373818055882,0.490157837210058,0.233894156457965,0.338015587742306,0.610461250029224,4.95466749688982,4.70603798511826,0.0759038384696493,NA,NA,606.085025632135,2.10446189455602,NA,NA,0.24508377752766,0.159299411752214,0.123670071566608,0.0902068423623351,0.00294123893053579,NA,0.378798657860647,NA,3376,"Ebonyi","Ebonyi","Ebonyi North",0.678131283937291,11.38,1633,491563.1586
"Ofunyeonu","501372688",FALSE,"OSM",8.383512,6.380712,361.116210803903,353.479517394839,212.544722789971,83.4599696819258,1.21998719866183,0.661946661788089,0.389276049065881,0.154555499410974,0.742468183910254,7.24038507800281,0.6286043518028,0.0419069567868533,NA,NA,588.789911304155,2.62852638975069,NA,NA,0.225694960606511,0.220922083713819,0.132838879568477,0.0521618637048992,0.00039287307014377,NA,0.367989339336151,NA,1244,"Ebonyi","Izzi","Ebonyi North",0.524153153045608,31.58,585,113258.1478
"Ogbaga","501372728",FALSE,"OSM",8.129187,6.376204,298.816422748204,501.02315234704,135.642625534961,42.1249862241903,0.611076529137431,1.19291226749295,0.207404626200246,0.0845883257513862,0.661164849721734,6.16023231091802,2.8711928501263,0.036344213292738,NA,NA,619.540556622076,2.21264484507884,NA,NA,0.186758053897938,0.313135764191212,0.0847756376223747,0.0263278047951751,0.00179447429335938,NA,0.387208265199941,NA,2122,"Ebonyi","Ebonyi","Ebonyi North",0.678131283937291,12.5,7505,190729.5476
"Ndiabongiji","501372825",FALSE,"OSM",8.353522,6.377534,347.669174467365,326.092754824404,205.400719278266,43.8833794785576,1.24612607335973,0.73279270747057,0.327071209041825,0.121224805189386,0.833343196003436,7.46207111675805,0.713550885830205,0.0356775442915103,NA,NA,676.259357392174,3.63580299673212,NA,NA,0.21729066236276,0.203805559684852,0.128373930217248,0.0274267875724692,0.000445964025568604,NA,0.422657096137102,NA,856,"Ebonyi","Izzi","Ebonyi North",0.524153153045608,25.82,147,83680.2805
"Mgbabu","501372879",FALSE,"OSM",8.3139831,6.149575,220.767547283824,2.10667404387965,274.41128352213,19.0450129289443,1.91971780246803,0.0915945236469415,0.308674109698684,0.209285856362025,1.2093869511161,28.2510619800286,NA,NA,NA,NA,1082.50766172484,6.5211304923183,1.18075682298094,0.0302758159738701,0.137978084053601,0.00131665569453588,0.171505022404383,0.0119029922062477,NA,NA,0.676559281360827,0.00073796428040519,601,"Cross River","Obubra","Cross River Central",0.217319291173103,46.23,16536,70060.408
"Obagu Ete","501372918",FALSE,"OSM",8.38475,6.277569,500.335085421418,217.072373053632,341.76539035246,20.4381360869937,2.6899735775345,0.519311897257492,0.485462202205199,0.0681271202899791,0.814259000675113,8.91110161281142,0.441721976942508,0.036810164745209,NA,NA,519.966229435151,1.50714849111638,NA,NA,0.312705727452271,0.13566862749262,0.213600840960734,0.012773683875215,0.000276072968209136,NA,0.32497504725095,NA,634,"Ebonyi","Abakaliki","Ebonyi North",0.67096125380458,41.17,9214,44013.0076
"Ndegbaraso","501373080",FALSE,"OSM",8.142645,6.705366,885.703531690145,285.114546809583,7.13550885830205,5.78485896726631,4.11955131018672,0.340232156097355,0.109777059358493,0.0366130314383944,0.966778813490391,17.7579217361272,NA,NA,NA,NA,416.2804900013,1.09836540897441,NA,NA,0.553558155832572,0.178194482787912,0.00445964025568604,0.00361549406443118,NA,NA,0.260172227059398,NA,934,"Ebonyi","Ebonyi","Ebonyi North",0.678131283937291,60.09,31373,63673.4105
"Edukwu Iyima","501373089",FALSE,"OSM",8.175235,6.7208,792.517183862081,346.411965763759,3.66969026998391,14.8741381081987,3.0248747475652,0.506450242344677,0.0621981401692189,0.0557083824277104,1.00440611194388,11.0750443691431,NA,NA,NA,NA,442.545958322574,1.37864784524166,NA,NA,0.49531737773153,0.216504916222472,0.00229352927435282,0.0092962262948884,NA,NA,0.276587950476757,NA,857,"Ebonyi","Ebonyi","Ebonyi North",0.678131283937291,61.98,27984,59129.9512
"Ndibiofa","501373105",FALSE,"OSM",8.33067,6.473809,350.429936823256,603.103402287773,157.346464978963,11.5272446675189,1.01280328561635,2.1236035291823,0.299137766119702,0.0472428060144218,0.969708446258544,8.60205555122478,0.101935840832886,0.0339786136109622,NA,NA,477.509951728254,1.93323867096459,NA,NA,0.219016118414067,0.376935165325235,0.0983403767334197,0.00720444265114995,6.37091465098006e-05,NA,0.298440187729618,NA,678,"Ebonyi","Izzi","Ebonyi North",0.524153153045608,47.38,11081,50175.7992
"Ijutum","501373123",FALSE,"OSM",8.3869054,6.2193861,533.489717652314,88.8200959790551,418.650498300665,15.9614537437495,2.27016901128644,0.264345523747188,0.649070540001031,0.0728833504280798,0.928623874826812,6.9562287098931,0.101935840832886,0.0339786136109622,NA,NA,542.978245503175,1.91189523064498,0.0169893068054811,0.0169893068054811,0.333427127354584,0.0555119029922062,0.261653464715751,0.00997579052432628,6.37091465098006e-05,NA,0.339357387075538,1.06181910849668e-05,782,"Ebonyi","Abakaliki","Ebonyi North",0.67096125380458,55.69,15340,59486.1767
"Ohaglede","501373153",FALSE,"OSM",8.1443,6.692,828.101286966162,271.370197603949,3.99248709928805,7.22045539232946,3.86963218208487,0.331343342617765,0.0849465340274054,0.0427245881202927,1.01331154928854,16.4917849097676,0.00849465340274054,0.00849465340274054,NA,NA,489.326014611466,1.48731311432057,NA,NA,0.517557178958993,0.169604366200174,0.00249527490496719,0.00451273121111088,5.30909554248338e-06,NA,0.305825139629213,NA,941,"Ebonyi","Ebonyi","Ebonyi North",0.678131283937291,58.2,31114,67618.0763
"Ngbo","501373265",FALSE,"OSM",8.152531,6.362741,343.710665981688,540.752646311657,161.976051083457,29.5104259211206,0.818358728527828,1.19371445101911,0.264666750136367,0.0758622774321867,0.707347009870291,7.22340970275007,7.41583242059249,0.0780613939009736,NA,NA,516.653314608082,1.76332189286035,NA,NA,0.214816623839963,0.337966404043407,0.101233833804073,0.0184437979145873,0.00463484040858799,NA,0.322904499989382,NA,1637,"Ebonyi","Izzi","Ebonyi North",0.524153153045608,15.64,5492,132618.2432
"Nwafo Oge","501373377",FALSE,"OSM",8.168891,6.204707,738.457209607041,167.404134607808,480.72093071449,11.9859559512669,4.10254005337245,0.461168414897542,1.26173472628475,0.110981073622842,1.1379935535751,11.1835194419378,11.1449852643956,0.318428150411303,NA,NA,188.30098197855,0.572343410269148,2.00473820304677,0.200473820304677,0.461530293699165,0.10462634585572,0.300447025844677,0.00749113381044405,0.0069655333517382,NA,0.117686720890229,0.00125294654802608,503,"Ebonyi","Abakaliki","Ebonyi North",0.67096125380458,27.62,8274,44970.3667
"Nkrigom","501373384",FALSE,"OSM",8.6068,6.2947,1210.05488256699,226.543911597687,161.619275640542,NA,10.6145165137455,0.437343458682794,0.594188513384344,NA,1.74865457522032,38.7398489623627,NA,NA,NA,NA,1.80086652138099,0.163715138307363,NA,NA,0.756275350931215,0.141588269022489,0.101010851791289,NA,NA,NA,0.00112552825500648,NA,6,"Cross River","Ikom","Cross River Central",0.0689474895068552,99.19,4479,281.7833
"Nko","501373399",FALSE,"OSM",8.1417,6.0163,425.565146170496,5.0288348144224,137.333061562106,10.0576696288448,4.01476552991034,0.167627827147413,0.228888435936844,0.0661688791371368,1.57792794509526,31.9770463474741,0.288818215693178,0.0722045539232946,NA,NA,1013.00440758361,10.7766426338682,8.74099835142002,0.312178512550715,0.265975068487332,0.00314298456115016,0.0858321476353288,0.00628596912230032,0.000180509248444435,NA,0.633120261632228,0.0054630593132154,1113,"Ebonyi","Ikwo","Ebonyi Central",0.499390259928818,48.58,13540,99244.6216
"Ikwo","501373408",FALSE,"OSM",8.1028,6.0716,763.168156355613,97.8414178927655,445.383172559089,71.3465939296178,5.26322866452147,0.226484763640661,1.25107632741317,0.196547090715201,0.975621302638169,16.3607371534182,1.04484236853709,0.0696561579024724,NA,NA,220.376793227298,0.67600243321257,0.857959993676795,0.285986664558932,0.47697445263225,0.0611501624583236,0.278361188387946,0.0445910934613179,0.000653018751725456,NA,0.137733865658646,0.000536218649790822,2413,"Ebonyi","Ikwo","Ebonyi Central",0.499390259928818,38.89,9939,290145.2913
"Efut Eso","501393578",FALSE,"OSM",8.0885,5.6468,1566.36311954494,0.280323562290438,9.61594765190229,23.2328770564954,174.040346616104,0.0254839602082216,0.174835411852769,0.40759433432448,11.1889436106755,130.960650202545,0.0509679204164432,0.0254839602082216,NA,NA,0.47570059055347,0.0528556211726078,NA,NA,0.978965363460681,0.000175200152901952,0.00600989615409119,0.0145203763086921,3.18545732549003e-05,NA,0.000297309350379069,NA,457,"Cross River","Biase","Cross River North",0.0415357498568386,80.01,112,63362.5366
"Efam","501393898",FALSE,"OSM",8.2179,5.6802,1563.25407639954,11.1874585314093,22.3409384492076,2.87968750352904,1563.25407639954,0.0661979794757946,0.259778354060554,0.102845982268894,5.55562130668957,92.1085450755684,0.0509679204164432,0.0254839602082216,NA,NA,0.305807522498659,0.15290376124933,NA,NA,0.977022234492132,0.00699207882945061,0.0139629212767313,0.00179978338890187,3.18545732549003e-05,NA,0.000191127439529402,NA,370,"Cross River","Yakurr","Cross River Central",0.189682403769197,113.42,13822,48597.471
"Akankpa","501394083",FALSE,"OSM",8.3549815,5.3123313,1348.39880788402,0.603120391594578,78.5075867481281,165.560794819413,13.0912505619808,0.0287200186473609,0.386736880532651,0.80761363326543,2.81198407087275,55.4537403673703,6.93163717663628,0.192545477128786,NA,NA,0.0169893068054811,0.0169893068054811,NA,NA,0.8427392809361,0.00037694578351632,0.0490666610036314,0.103474272123001,0.00433222196266644,NA,1.06181910849668e-05,NA,3636,"Cross River","Akamkpa","Cross River South",0.00777062369464944,120.92,175,557763.8006
